Player,Name,Position,Age,Height,Weight,FGM,FGA,FG Percentage,Mock Draft,Video
<img src='jchampagnie.png' height='80'></img>,Justin Champagnie,F,19,6'6,200,2,11,18.20%,64,https://www.youtube.com/embed/RTzlRXGXrx0
<img src='brown.png' height='80'></img>,Chaundee Brown,G,22,6'5,215,8,17,47.10%,66,https://www.youtube.com/embed/65GBQX5z14w
<img src='thor.png' height='80'></img>,JT Thor,F,18,6'10,205,1,2,50.00%,67,https://www.youtube.com/embed/r4uKDGQxLH0
<img src='hyland.png' height='80'></img>,Nah'Shon Hyland,G,20,6'3,173,3,10,30.00%,68,https://www.youtube.com/embed/mHWnO1sZyDc
<img src='johnson1.png' height='80'></img>,David Johnson,G,20,6'5,210,1,4,25.00%,69,https://www.youtube.com/embed/mkthAcOCmUg
<img src='grimes.png' height='80'></img>,Quentin Grimes,G,21,6'5,205,4,10,40.00%,70,https://www.youtube.com/embed/RWgf2GyQ0t4
<img src='duke.png' height='80'></img>,David Duke,G,21,6'5,205,1,4,25.00%,71,https://www.youtube.com/embed/PgP1ukWtwWw
<img src='jones.png' height='80'></img>,Carlik Jones,G,23,6'1,185,1,3,33.30%,72,https://www.youtube.com/embed/o_D2QZTvCH8
<img src='hauser.png' height='80'></img>,Sam Hauser,F,23,6'8,218,11,21,52.40%,73,https://www.youtube.com/embed/u-Gj9fUTH_M
<img src='huff.png' height='80'></img>,Jay Huff,C-F,22,7'1,240,1,4,25.00%,74,https://www.youtube.com/embed/Vu70Q-H6HiQ
<img src='queta.png' height='80'></img>,Neemias Queta,C,21,7'0,245,0,0,0.00%,75,https://www.youtube.com/embed/LdGaezS0x8I
<img src='lewis.png' height='80'></img>,Scottie Lewis,G,21,6'5,289,4,12,33.30%,76,https://www.youtube.com/embed/8RapwnOkbOY
<img src='petty.png' height='80'></img>,John Petty Jr.,G,22,6'5,184,6,21,28.60%,78,https://www.youtube.com/embed/6ai9KT0jhHI
<img src='wieskamp.png' height='80'></img>,Joe Wieskamp,G,21,6'6,212,7,9,77.80%,80,https://www.youtube.com/embed/xZs_m7E_R5w
<img src='garrett.png' height='80'></img>,Marcus Garrett,G,22,6'5,195,3,8,37.50%,81,https://www.youtube.com/embed/3-nac29D6YU
<img src='pons.png' height='80'></img>,Yves Pons,G-F,22,6'6,215,2,9,22.20%,84,https://www.youtube.com/embed/7IV0bVCuoc0
<img src='wright.png' height='80'></img>,McKInley Wright IV,G,22,6'0,196,1,2,50.00%,85,https://www.youtube.com/embed/HmVuIg1-IB4
<img src='stewart.png' height='80'></img>,D.J. Stewart Jr.,G,21,6'6,205,5,16,31.30%,86,https://www.youtube.com/embed/vwCRAQija0k
<img src='mamitchell.png' height='80'></img>,Matt Mitchell,F,22,6'6,235,1,2,50.00%,87,https://www.youtube.com/embed/yjcM-20cAoI
<img src='wright.png' height='80'></img>,Moses Wright,F,22,6'9,233,2,5,40.00%,88,https://www.youtube.com/embed/uYsoNf0bj7Y
<img src='champagnie.png' height='80'></img>,Julian Champagnie,G,19,6'8,220,4,13,30.80%,89,https://www.youtube.com/embed/Vy5TKo2JTw8
<img src='alvarado.png' height='80'></img>,Jose Alvarado,G,23,6'0,179,5,10,50.00%,91,https://www.youtube.com/embed/JvtSJn61G9c
<img src='mclaughlin1.png' height='80'></img>,Jaquori McLaughlin,G,23,6'4,190,6,9,66.70%,92,https://www.youtube.com/embed/YtQXMdXBnQg
<img src='alston.png' height='80'></img>,Derrick Alston Jr.,G,23,6'9,188,9,18,50.00%,95,https://www.youtube.com/embed/zoTvtPmLrrM
<img src='maker.png' height='80'></img>,Makur Maker,C,20,6'11,235,0,0,0.00%,96,https://www.youtube.com/embed/GLW_3EAJyCI
<img src='walker.png' height='80'></img>,M.J. Walker,F,23,6'5,185,6,15,40.00%,Late Second Round,https://www.youtube.com/embed/P9cn2AfT1Mk
<img src='nembhard.png' height='80'></img>,RJ Nembhard,G,22,6'5,200,6,13,46.20%,Mid Second Round,https://www.youtube.com/embed/o60ZLUQ8B5Y
<img src='etienne.png' height='80'></img>,Tyson Etienne,G,21,6'2,200,7,11,63.60%,Outside First Two Rounds,https://www.youtube.com/embed/V29K0gymDUQ
<img src='hunt.png' height='80'></img>,Feron Hunt,F,21,6'8,195,1,2,50.00%,Outside First Two Rounds,https://www.youtube.com/embed/x3UVMXl-16I
<img src='preston.png' height='80'></img>,Jason Preston,G,21,6'4,187,4,6,66.67%,43,https://www.youtube.com/embed/ry9ycT7OPfo
<img src='sims.png' height='80'></img>,Jericho Sims,C,22,6'10,250,0,0,0.00%,62,https://www.youtube.com/embed/Eo6H33RtCHw
<img src='washington.png' height='80'></img>,Duane Washington Jr.,G,21,6'3,210,7,20,35.00%,84,https://www.youtube.com/embed/HmWoNLUhbVo
<img src='lawson.png' height='80'></img>,AJ Lawson,G,20,6'6,177,10,30,33.33%,85,https://www.youtube.com/embed/bciZxUlNj_0
<img src='imobley.png' height='80'></img>,Isaiah Mobley,F,21,6'10,235,0,1,0.00%,86,https://www.youtube.com/embed/DmBv35fcxOw
<img src='banton.png' height='80'></img>,Dalano Banton,G,21,6'9,204,2,7,28.57%,92,https://www.youtube.com/embed/noX20zsXhRg
<img src='zegarowski.png' height='80'></img>,Marcus Zegarowski,G,22,6'2,181,6,19,31.58%,97,https://www.youtube.com/embed/9ngRMk8CVuc
