Player,Name,Position,Age,Height,Weight,Current Team,FGM,FGA,FG%,Type,Salary,,Video
<img src='giles.png' height='80'></img>,Harry Giles III,F-C,23,"6'11""",240,POR,1,3,33.30%,Unrestricted,"$1,678,854 ",,https://www.youtube.com/embed/srsgo6QlPTo
<img src='blevins.png' height='80'></img>,Keljin Blevins,G,25,"6'4""",200,POR,1,3,33.30%,Restricted,"$1,445,697 ",,https://www.youtube.com/embed/YOZEdkd-6-Q
<img src='allen.png' height='80'></img>,Jarrett Allen,C,23,"6'11""",243,CLE,1,4,25.00%,Restricted,"$2,508,646 ",,https://www.youtube.com/embed/vGGzdhdss60
<img src='harrison.png' height='80'></img>,Shaquille Harrison,G,27,"6'7""",190,DEN,1,6,16.70%,Restricted,"$898,310 ",,https://www.youtube.com/embed/R-bQn9yT_fE
<img src='jefferies.png' height='80'></img>,DaQuan Jeffries,G-F,23,"6'5""",230,SAS,1,7,14.30%,Club Option,"$1,445,697 ",,https://www.youtube.com/embed/ARtXROeMpLM
<img src='howard.png' height='80'></img>,Dwight Howard,F-C,35,"6'10""",265,PHI,1,2,50.00%,Unresticted,"$2,564,753 ",,https://www.youtube.com/embed/d3hSpanyhUo
<img src='waters.png' height='80'></img>,Tremont Waters,G,23,"5'10""",175,BOS,1,3,33.30%,Restricted,"$110,998 ",,https://www.youtube.com/embed/VzxRMZkT3so
<img src='mays.png' height='80'></img>,Skylar Mays,G,23,"6'4""",205,ATL,1,5,20.00%,Restricted,"$532,218 ",,https://www.youtube.com/embed/11rqE29BJmk
<img src='kornet.png' height='80'></img>,Luke Kornet,F-C,25,"7'2""",250,BOS,1,5,20.00%,Unrestricted,"$2,250,000 ",,https://www.youtube.com/embed/4yHqjqi1sfA
<img src='smcdermott.png' height='80'></img>,Sean McDermott,F,24,"6'6""",195,MEM,1,4,25.00%,Restricted,"$449,115 ",,https://www.youtube.com/embed/i-mI610V_28
