Image,Name,Team Abbreviation,Position,Height,Weight,Age,FGM,FGA,FG Percentage,Video
<img src='ellenson.webp' height='80'></img>,Henry Ellenson,RAP,F-C,6'10,240,24,3,8,37.50%,https://www.youtube.com/embed/LPWVWV2XI4c
<img src='adams.webp' height='80'></img>,Jalen Adams,ERI,G,6'2,195,25,3,8,37.50%,https://www.youtube.com/embed/ERBjywj1zfI
<img src='lecque.webp' height='80'></img>,Jalen Lecque,FWN,G,6'4,185,21,3,6,50.00%,https://www.youtube.com/embed/PQyda2ayYok
<img src='martin.webp' height='80'></img>,Jeremiah Martin,LIN,G,6'2,185,24,3,8,37.50%,https://www.youtube.com/embed/MHUAmBZsty8
<img src='lin.webp' height='80'></img>,Jeremy Lin,SCW,G,6'3,200,32,3,4,75.00%,https://www.youtube.com/embed/H5aTKdmiGD8
<img src='robinson.webp' height='80'></img>,Justin Robinson,DEL,G,6'1,195,23,3,6,50.00%,https://www.youtube.com/embed/C_504qjHF_o
<img src='randolph.webp' height='80'></img>,Levi Randolph,CTN,G,6'6,210,28,3,6,50.00%,https://www.youtube.com/embed/MZXz8HGnKDA
<img src='mooney.webp' height='80'></img>,Matt Mooney,RAP,G,6'2,199,24,3,5,60.00%,https://www.youtube.com/embed/F-CwSYCDG7k
<img src='hinton.webp' height='80'></img>,Nate Hinton,SCW,G-F,6'5,210,22,3,3,100.00%,https://www.youtube.com/embed/WLbsy8ZeUB8
<img src='franks.webp' height='80'></img>,Robert Franks,LAK,F,6'7,225,24,3,5,60.00%,https://www.youtube.com/embed/g9UYoYMWt8U
<img src='occeus.webp' height='80'></img>,Shawn Occeus,RGV,G,6'4,210,23,3,13,23.10%,https://www.youtube.com/embed/Rhpn16IvkPA
<img src='scott.webp' height='80'></img>,Trevon Scott,SLC,F,6'8,225,24,3,4,75.00%,https://www.youtube.com/embed/B1gb_tNbTdg
