Player,Name,Position,Age,Height,Weight,Current Team,FGM,FGA,FG Percentage,Type,Previous Salary
<img src='craig.png' height='80'></img>,Torrey Craig,F,30,"6'7""",221,PHX,4,20,20.00%,Unrestricted,1678854
<img src='smith.png' height='80'></img>,Ish Smith,G,32,"6'0""",175,WAS,4,8,50.00%,Unrestricted,6000000
<img src='griffin.png' height='80'></img>,Blake Griffin,F,32,"6'9""",250,BKN,4,9,44.40%,Unrestricted,1229676
<img src='wmatthews.png' height='80'></img>,Wesley Matthews,G,34,"6'4""",220,LAL,4,20,20.00%,Unrestricted,3623000
<img src='mhoward.png' height='80'></img>,Markus Howard,G,22,"5'10""",175,DEN,3,3,100.00%,Restricted,535294
<img src='knight.png' height='80'></img>,Nathan Knight,F-C,23,"6'10""",253,ATL,3,11,27.30%,Restricted,522989
<img src='mwagner.png' height='80'></img>,Moritz Wagner,F-C,24,"6'11""",245,ORL,3,10,30.00%,Restricted,221995
<img src='lamb.png' height='80'></img>,Anthony Lamb,F,23,"6'6""",227,HOU,3,9,33.30%,Restricted,215330
<img src='mclaughlin.png' height='80'></img>,Jordan McLaughlin,G,25,"5'11""",185,MIN,3,8,37.50%,Restricted,503760
<img src='bjelica.png' height='80'></img>,Nemanja Bjelica,F,33,"6'10""",234,MIA,3,8,37.50%,Unrestricted,6825000
<img src='moore.png' height='80'></img>,E'Twaun Moore,G,32,"6'3""",191,PHX,3,4,75.00%,Unrestricted,2331593
<img src='lowry.png' height='80'></img>,Kyle Lowry,G,35,"6'0""",196,TOR,3,7,42.90%,Unrestricted,30500000
<img src='derozan.png' height='80'></img>,DeMar DeRozan,G-F,31,"6'6""",220,SAS,3,11,27.30%,Unrestricted,27800000
<img src='rivers.png' height='80'></img>,Austin Rivers,G,28,"6'4""",200,DEN,3,17,17.60%,Unrestricted,2271991
<img src='ennis.png' height='80'></img>,James Ennis III,F,30,"6'6""",215,ORL,3,13,23.10%,Unrestricted,3300000
<img src='batesdiop.png' height='80'></img>,Keita Bates-Diop,F,25,"6'8""",229,SAS,2,7,28.60%,Restricted,449115
<img src='jjackson.png' height='80'></img>,Justin Jackson,F,26,"6'8""",220,MIL,2,6,33.30%,Restricted,920000
<img src='brazdeikis.png' height='80'></img>,Ignas Brazdeikis,F,22,"6'6""",221,ORL,2,4,50.00%,Restricted,49510
<img src='lee.png' height='80'></img>,Saben Lee,G,21,"6'2""",183,DET,2,2,100.00%,Restricted,1489065
<img src='goodwin.png' height='80'></img>,Brandon Goodwin,G,25,"6'0""",180,ATL,2,8,25.00%,Restricted,1112166
<img src='thomas.png' height='80'></img>,Brodric Thomas,G,24,"6'5""",185,CLE,2,7,28.60%,Restricted,898310
<img src='guy.png' height='80'></img>,Kyle Guy,G,23,"6'1""",167,SAC,2,8,25.00%,Restricted,1489065
<img src='antetokounmpo.png' height='80'></img>,Thanasis Antetokounmpo,F,28,"6'6""",219,MIL,2,6,33.30%,Restricted,1573645
<img src='thornwell.png' height='80'></img>,Sindarius Thornwell,G,26,"6'4""",215,ORL,2,7,28.60%,Restricted,11499
<img src='forrest.png' height='80'></img>,Trent Forrest,G,23,"6'4""",210,UTA,2,8,25.00%,Restricted,470690
<img src='brantley.png' height='80'></img>,Jarrell Brantley,F,25,"6'5""",250,UTA,2,4,50.00%,Restricted,510586
<img src='len.png' height='80'></img>,Alex Len,C,28,"7'0""",250,WAS,2,6,33.30%,Unrestricted,1697755
<img src='ilyasova.png' height='80'></img>,Ersan Ilyasova,F,34,"6'9""",235,UTA,2,6,33.30%,Unrestricted,1194542
<img src='lyles.png' height='80'></img>,Trey Lyles,F,25,"6'9""",234,SAS,2,3,66.70%,Unrestricted,5500000
<img src='cousins.png' height='80'></img>,DeMarcus Cousins,C,30,"6'10""",170,LAC,2,7,28.60%,Unrestricted,335366
<img src='rose.png' height='80'></img>,Derrick Rose,G,32,"6'2""",200,NYK,2,7,28.60%,Unrestricted,7500000
<img src='randle.png' height='80'></img>,Chasson Randle,G,28,"6'2""",185,ORL,2,8,25.00%,Unrestricted,1030312
<img src='james.png' height='80'></img>,Mike James,G,30,"6'1""",175,BKN,2,3,66.70%,Unrestricted,9902
<img src='jefferies.png' height='80'></img>,DaQuan Jeffries,G-F,23,"6'5""",230,SAS,1,7,14.30%,Team Option,1445697
<img src='dinwiddie.png' height='80'></img>,Spencer Dinwiddie,G,28,"6'5""",215,BKN,1,1,100.00%,Player Option,11454048
<img src='ibaka.png' height='80'></img>,Serge Ibaka,F,31,"6'10""",235,LAC,1,6,16.70%,Player Option,9489450
<img src='morgan.png' height='80'></img>,Juwan Morgan,F,24,"6'7""",232,UTA,1,2,50.00%,Restricted,1132018
<img src='nunnally.png' height='80'></img>,James Nunnally,F,30,"6'7""",205,NOP,1,2,50.00%,Restricted,107674
<img src='tillie.png' height='80'></img>,Killian Tillie,F-C,23,"6'9""",220,MEM,1,6,16.70%,Restricted,449115
<img src='hinton.png' height='80'></img>,Nate Hinton,G-F,22,"6'5""",210,DAL,1,2,50.00%,Restricted,449115
<img src='blevins.png' height='80'></img>,Keljin Blevins,G,25,"6'4""",200,POR,1,3,33.30%,Restricted,1445697
<img src='allen.png' height='80'></img>,Jarrett Allen,C,23,"6'11""",243,CLE,1,4,25.00%,Restricted,2508646
<img src='harrison.png' height='80'></img>,Shaquille Harrison,G,27,"6'7""",190,DEN,1,6,16.70%,Restricted,898310
<img src='waters.png' height='80'></img>,Tremont Waters,G,23,"5'10""",175,BOS,1,3,33.30%,Restricted,110998
<img src='mays.png' height='80'></img>,Skylar Mays,G,23,"6'4""",205,ATL,1,5,20.00%,Restricted,532218
<img src='smcdermott.png' height='80'></img>,Sean McDermott,F,24,"6'6""",195,MEM,1,4,25.00%,Restricted,449115
<img src='howard.png' height='80'></img>,Dwight Howard,F-C,35,"6'10""",265,PHI,1,2,50.00%,Unrestricted,2564753
<img src='wanamaker.png' height='80'></img>,Brad Wanamaker,G,31,"6'3""",210,CHA,1,1,100.00%,Unrestricted,2250000
<img src='giles.png' height='80'></img>,Harry Giles III,F-C,23,"6'11""",240,POR,1,3,33.30%,Unrestricted,1678854
<img src='kornet.png' height='80'></img>,Luke Kornet,F-C,25,"7'2""",250,BOS,1,5,20.00%,Unrestricted,2250000
