,RA_FGM,RA_FGA,RA_FG%,ITP_FGM,ITP_FGA,ITP_FG%,MR_FGM,MR_FGA,MR_FG%,LC3_FGM,LC3_FGA,LC3_FG%,RC3_FGM,RC3_FGA,RC3_FG%,ATB_FGM,ATB_FGA,ATB_FG%,win,ortg,pt_diff
337,13,26,0.5,4,7,0.571428571,5,12,0.416666667,1,7,0.142857143,3,8,0.375,10,30,0.333333333,0,103.2,-17
338,21,32,0.65625,4,10,0.4,4,11,0.363636364,0,3,0.0,4,5,0.8,11,21,0.523809524,1,120.3,17
339,19,27,0.703703704,7,18,0.388888889,7,13,0.538461538,2,5,0.4,2,7,0.285714286,8,17,0.470588235,0,118.5,-8
340,16,19,0.842105263,6,13,0.461538462,9,17,0.529411765,2,5,0.4,1,4,0.25,11,25,0.44,1,127.1,8
341,20,24,0.833333333,8,15,0.533333333,8,17,0.470588235,2,5,0.4,2,6,0.333333333,7,20,0.35,1,123.8,11
342,16,24,0.666666667,4,12,0.333333333,5,16,0.3125,0,4,0.0,0,2,0.0,11,18,0.611111111,0,111.9,-11
343,20,30,0.666666667,5,13,0.384615385,3,5,0.6,1,2,0.5,0,2,0.0,6,26,0.230769231,0,87.3,-31
344,23,29,0.793103448,7,15,0.466666667,3,11,0.272727273,0,4,0.0,5,5,1.0,9,21,0.428571429,1,117.4,31
345,14,25,0.56,11,19,0.578947368,4,8,0.5,1,3,0.333333333,2,4,0.5,10,22,0.454545455,1,122.6,7
346,15,19,0.789473684,9,22,0.409090909,2,4,0.5,2,7,0.285714286,3,6,0.5,5,25,0.2,0,103.6,-16
347,24,31,0.774193548,9,16,0.5625,2,3,0.666666667,2,6,0.333333333,1,6,0.166666667,5,17,0.294117647,1,120.9,16
348,29,36,0.805555556,14,30,0.466666667,9,23,0.391304348,1,2,0.5,2,4,0.5,3,14,0.214285714,0,133.0,-3
349,11,22,0.5,10,18,0.555555556,6,13,0.461538462,0,4,0.0,2,8,0.25,11,23,0.47826087,1,112.1,7
350,24,33,0.727272727,6,18,0.333333333,3,8,0.375,0,3,0.0,2,3,0.666666667,11,22,0.5,1,133.5,9
351,16,35,0.457142857,2,8,0.25,2,4,0.5,1,5,0.2,4,7,0.571428571,9,28,0.321428571,0,107.2,-21
352,28,45,0.622222222,1,5,0.2,3,9,0.333333333,2,3,0.666666667,0,3,0.0,12,30,0.4,1,119.2,4
353,21,28,0.75,2,10,0.2,3,4,0.75,4,6,0.666666667,1,3,0.333333333,10,31,0.322580645,0,113.2,-13
354,23,36,0.638888889,5,22,0.227272727,1,4,0.25,1,6,0.166666667,1,5,0.2,8,23,0.347826087,0,104.6,-6
355,15,21,0.714285714,1,8,0.125,6,14,0.428571429,2,3,0.666666667,2,5,0.4,10,29,0.344827586,1,113.4,5
356,13,19,0.684210526,8,15,0.533333333,5,10,0.5,3,7,0.428571429,2,6,0.333333333,11,18,0.611111111,1,130.3,17
357,19,27,0.703703704,9,23,0.391304348,3,4,0.75,1,1,1.0,0,3,0.0,8,34,0.235294118,1,102.3,5
358,19,39,0.487179487,4,12,0.333333333,4,12,0.333333333,0,2,0.0,1,5,0.2,11,27,0.407407407,1,106.0,5
